,so,pr,po,sn,eo,pn,en,sr,er
uneven,0.0,0.0,0.0,0.0,2.1972245773362196,0.0,0.0,0.0,0.0
unexpectedly,1.0986122886681098,0.0,0.0,1.0986122886681098,0.0,0.0,0.0,1.0986122886681098,0.0
unfortunately,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.394449154672439,0.0
unhinged,2.1972245773362196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
union,0.0,0.0,0.0,0.0,2.1972245773362196,0.0,0.0,0.0,0.0
unit,1.5040773967762742,0.0,0.0,0.0,0.0,1.5040773967762742,0.0,0.0,0.0
unknown,1.0986122886681098,0.0,0.0,1.0986122886681098,0.0,0.0,0.0,1.0986122886681098,0.0
unobstructed,0.0,0.0,2.1972245773362196,0.0,0.0,0.0,0.0,0.0,0.0
unproven,0.0,0.0,0.0,2.1972245773362196,0.0,0.0,0.0,0.0,0.0
unselfish,0.0,0.0,2.1972245773362196,0.0,0.0,0.0,0.0,0.0,0.0
unterschreiben,0.0,0.0,2.1972245773362196,0.0,0.0,0.0,0.0,0.0,0.0
untested,2.1972245773362196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unvaccinate,0.5877866649021191,0.0,0.5877866649021191,1.7633599947063572,0.5877866649021191,0.0,0.0,1.1755733298042381,0.0
unvaccinated,1.0052577131236247,0.5026288565618123,1.0052577131236247,0.7539432848427186,0.0,0.7539432848427186,0.7539432848427186,1.0052577131236247,0.0
unvacvinated,0.0,0.0,0.0,0.0,0.0,2.1972245773362196,0.0,0.0,0.0
unvaxed,2.1972245773362196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unvaxxe,0.0,0.0,4.394449154672439,0.0,0.0,0.0,0.0,0.0,0.0
unvaxxed,1.0986122886681098,0.0,1.0986122886681098,0.0,0.0,1.0986122886681098,0.0,0.0,0.0
unwilling,0.0,0.0,0.0,0.0,0.0,0.0,2.1972245773362196,0.0,0.0
update,0.0,3.243720864865315,1.6218604324326575,0.8109302162163288,0.0,3.243720864865315,0.0,0.0,0.0
uphold,0.0,0.0,0.0,0.0,0.0,2.1972245773362196,0.0,0.0,0.0
uptake,0.0,0.0,0.0,0.0,0.0,2.1972245773362196,0.0,0.0,0.0
ur,1.5040773967762742,1.5040773967762742,0.0,0.0,0.0,0.0,0.0,0.0,0.0
urge,0.0,0.0,0.0,1.5040773967762742,0.0,4.512232190328822,0.0,0.0,0.0
urgently,0.0,2.1972245773362196,0.0,0.0,0.0,0.0,0.0,0.0,0.0
urselve,0.0,0.0,2.1972245773362196,0.0,0.0,0.0,0.0,0.0,0.0
useless,0.0,0.0,8.788898309344878,0.0,0.0,0.0,0.0,0.0,0.0
user,0.0,2.1972245773362196,0.0,0.0,0.0,0.0,0.0,0.0,0.0
usually,0.0,0.0,2.1972245773362196,0.0,0.0,0.0,0.0,0.0,0.0
utility,0.0,0.0,2.1972245773362196,0.0,0.0,0.0,0.0,0.0,0.0
utterly,0.0,0.0,1.5040773967762742,0.0,0.0,0.0,0.0,1.5040773967762742,0.0
v.,0.0,4.394449154672439,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v/@lastmileair,0.0,0.0,2.1972245773362196,0.0,0.0,0.0,0.0,0.0,0.0
v2,0.0,0.0,2.1972245773362196,0.0,0.0,0.0,0.0,0.0,0.0
vacation,0.0,2.1972245773362196,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vaccinate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vaccinated,2.8267928557532027,1.8845285705021353,2.9445758914095865,2.3556607131276692,0.0,1.060047320907451,0.11778303565638346,1.8845285705021353,0.11778303565638346
vaccination,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vaccination-,0.0,0.0,2.1972245773362196,0.0,0.0,0.0,0.0,0.0,0.0
vaccinationrate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1972245773362196,0.0
vaccine,6.713633032413857,6.713633032413857,8.598161602915992,4.240189283629804,0.9422642852510676,9.658208923823443,0.8244812495946842,3.1801419627223533,0.0
vaccines-,0.0,0.0,2.1972245773362196,0.0,0.0,0.0,0.0,0.0,0.0
vaccinesideeffect,2.1972245773362196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vaccineswork,0.0,0.0,0.0,2.1972245773362196,0.0,0.0,0.0,0.0,0.0
value,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1972245773362196,0.0
van,0.0,0.0,2.1972245773362196,0.0,0.0,0.0,0.0,0.0,0.0
vanwa,0.0,0.0,0.0,0.0,0.0,2.1972245773362196,0.0,0.0,0.0
variant,5.271046405406137,2.4327906486489863,5.676511513514301,12.163953243244931,0.0,5.676511513514301,0.0,9.731162594595945,0.0
varient,2.1972245773362196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vax,2.9389333245105953,8.229013308629668,7.641226643727547,0.0,0.0,2.3511466596084762,0.0,1.7633599947063572,0.0
vax'a,0.0,0.0,2.1972245773362196,0.0,0.0,0.0,0.0,0.0,0.0
vax'd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1972245773362196,0.0
vax+booster,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1972245773362196,0.0
vaxcert,0.0,0.0,2.1972245773362196,0.0,0.0,0.0,0.0,0.0,0.0
vaxe,0.0,0.0,0.0,4.394449154672439,0.0,0.0,0.0,0.0,0.0
vaxed,4.394449154672439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vaxhole,0.0,2.1972245773362196,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vaxnew,0.0,0.0,0.0,2.1972245773362196,0.0,0.0,0.0,0.0,0.0
vaxsinate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1972245773362196,0.0
vaxxe,1.5040773967762742,0.0,0.0,0.0,0.0,0.0,0.0,1.5040773967762742,0.0
vaxxed,1.1755733298042381,0.0,4.7022933192169525,0.5877866649021191,0.0,1.1755733298042381,0.0,3.5267199894127144,0.0
vaxxed?i'm,0.0,0.0,2.1972245773362196,0.0,0.0,0.0,0.0,0.0,0.0
vaxxer,0.0,0.0,3.243720864865315,0.8109302162163288,0.0,0.8109302162163288,0.0,0.8109302162163288,0.0
vaxxers,0.0,0.0,0.0,0.0,0.0,2.1972245773362196,0.0,0.0,0.0
vax’d,0.0,0.0,2.1972245773362196,0.0,0.0,0.0,0.0,0.0,0.0
vector,0.0,2.1972245773362196,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vegan,0.0,0.0,0.0,0.0,0.0,2.1972245773362196,0.0,0.0,0.0
vegetable,2.1972245773362196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vehicle,0.0,0.0,2.1972245773362196,0.0,0.0,0.0,0.0,0.0,0.0
vein,0.0,0.0,2.1972245773362196,0.0,0.0,0.0,0.0,0.0,0.0
ventilate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1972245773362196,0.0
venue,0.0,1.5040773967762742,0.0,0.0,0.0,1.5040773967762742,0.0,0.0,0.0
